GeneSymbol	Mlp102036	Mlp106078	Mlp123218	Mlp123227	Mlp123531	Mlp124256	Mlp124266	Mlp124357	Mlp124466	Mlp124497	Mlp124499	Mlp124518	Mlp37347	Mlp72983	WGCNA Set
AT1G01010	0	0	0	0	-2.317936846	0	0	0	0	0	0	0	-2.216186035	0	0
AT1G01060	0	-2.127720212	-3.208810273	0	-3.836168138	-2.963984477	-2.553035476	0	0	-3.991386168	-2.278878293	-2.524379546	-3.776479685	-2.20660277	1
AT1G01110	0	0	0	0	0	0	0	0	0	-2.258066149	0	0	0	0	4
AT1G01340	0	0	0	0	-2.611766039	0	-2.373980093	0	0	-2.800727456	0	0	-2.592091655	-2.82559709	1
AT1G01390	0	0	0	-2.381956058	0	0	-2.658809294	0	0	0	0	0	0	0	1
AT1G01490	0	0	0	0	-2.198558552	0	0	0	0	0	0	0	0	0	0
AT1G01520	-2.579109481	0	-3.468547476	-3.284116624	-3.338552027	-2.882006659	-2.528461259	0	0	0	-2.493371275	-2.419780268	-3.275594689	0	1
AT1G01560	0	0	0	0	-2.145062725	-2.303696405	-2.201681508	-2.349016082	0	-3.405990922	-2.143141518	0	-2.554951828	-2.516217886	1
AT1G01680	0	0	0	-2.136054093	-2.617493995	-2.600136936	-3.526090739	-2.258781161	0	-3.419175409	-2.60623465	-2.437011078	-3.135592137	-3.17837941	1
AT1G02230	0	0	0	0	0	0	0	0	0	-2.329560413	-2.080866793	0	-2.01765764	0	1
AT1G02300	0	0	2.387279566	0	2.202752873	0	0	0	0	0	0	0	0	0	3
AT1G02340	0	0	0	0	-2.971708129	0	0	0	0	-2.459486083	0	0	-2.566180346	0	0
AT1G02360	0	0	0	0	-2.352935831	0	-2.185432843	0	0	-2.210570333	0	0	-2.032719805	-2.59937082	1
AT1G02400	0	0	0	0	-3.802760303	0	0	0	0	-3.391148698	0	0	-2.982887316	0	0
AT1G02405	0	0	0	0	-2.042510634	0	-2.088156086	0	0	0	0	0	0	0	0
AT1G02450	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.073844011	1
AT1G02820	0	0	-2.102949105	-2.142818354	-2.51974648	0	-2.088834742	0	0	0	0	-2.165495688	-2.444367705	0	1
AT1G02920	0	0	0	0	-2.139924241	0	0	0	0	0	0	0	0	-2.120268808	0
AT1G03010	0	0	0	0	-2.773170198	0	-2.051056166	0	0	-3.05397049	0	0	-3.096907714	0	0
AT1G03020	0	0	0	0	-2.622495333	0	0	0	0	-2.366062429	0	0	-2.334666716	0	0
AT1G03055	0	0	0	0	0	0	-2.383176189	0	0	0	0	-3.107666284	0	0	2
AT1G03106	0	0	0	0	0	0	0	0	3.217756208	0	0	0	0	2.948562048	0
AT1G03630	0	0	0	0	0	0	0	0	0	0	0	-2.070135854	0	0	2
AT1G03790	0	0	0	0	0	0	0	0	2.301126355	0	0	0	0	3.08235209	0
AT1G03800	0	0	-2.043934873	0	0	0	0	0	0	0	0	0	0	0	4
AT1G04240	0	0	0	0	-2.090060031	0	0	0	0	0	0	0	0	0	0
AT1G04290	-2.373590906	0	-2.39022035	0	-2.358829964	0	0	0	0	0	0	0	0	-2.075461493	3
AT1G04310	0	0	0	0	-3.292209037	0	0	0	-2.41357169	-2.769316822	0	0	-2.902129069	0	4
AT1G04313	0	0	0	0	0	2.261300982	0	0	0	0	0	0	0	0	2
AT1G04370	0	0	0	0	-2.188214011	0	-2.364400881	0	0	-2.428127036	0	0	-2.333231208	0	0
AT1G04490	0	0	0	-2.098273628	0	0	-2.208685657	0	0	0	0	0	0	0	1
AT1G04520	0	0	0	0	0	0	0	0	0	0	0	-2.038629309	0	0	2
AT1G04530	0	0	0	0	0	0	0	0	0	0	0	-2.316447775	0	0	2
AT1G04540	0	0	0	0	0	0	0	0	0	-2.016817126	0	-2.022032683	0	0	1
AT1G04580	0	0	2.150023313	0	2.289727946	0	0	0	0	0	0	0	0	2.295855183	3
AT1G04600	0	0	0	0	-2.358575785	0	-2.010380263	0	0	-2.200722095	-2.153088946	0	-2.052010378	-2.12242878	1
AT1G04625	2.280983694	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AT1G05035	0	0	0	0	0	2.206745561	0	0	0	0	0	0	0	0	0
AT1G05090	0	0	2.833197288	0	0	0	0	0	0	0	0	0	0	0	0
AT1G05200	-2.136459784	0	0	0	-2.256271726	0	0	0	0	0	0	0	0	-2.261458654	3
AT1G05540	0	0	0	0	0	0	0	0	0	0	0	-2.005509171	0	0	2
AT1G05550	0	0	0	0	2.375353216	0	0	0	0	0	0	0	0	0	3
AT1G05675	0	0	-2.171860579	0	-2.822580551	-2.338949768	-2.144679524	0	0	-3.452270878	-2.152379544	-2.187042758	-2.306367803	-2.797580427	1
AT1G05680	0	3.14300122	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G05710	-2.068587801	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AT1G05880	0	0	0	0	-2.365937559	-2.570315327	-2.577982113	0	0	-2.949392978	-2.737921479	0	-3.313970991	-2.401414469	1
AT1G06080	0	0	0	-2.382737406	-2.942809768	0	-2.283214679	-2.553308563	-2.271781702	-2.09746339	0	0	0	0	0
AT1G06100	0	0	0	0	2.018840353	0	0	0	0	0	0	0	2.046817202	0	2
AT1G06160	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.059884489	1
AT1G06360	0	0	0	0	0	0	0	0	2.221342687	0	0	0	0	0	2
AT1G06460	0	0	0	0	0	0	0	0	0	0	2.019428819	0	0	0	5
AT1G06570	0	0	0	0	-2.002552068	0	0	0	0	0	0	0	0	0	4
AT1G06640	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.254474787	3
AT1G06830	0	0	0	0	0	0	0	0	0	0	-2.154715368	-2.436604649	0	0	2
AT1G06980	0	0	0	0	0	0	0	0	0	0	0	2.822276693	0	0	0
AT1G06983	0	0	0	0	-2.077844227	0	0	0	0	0	0	0	-2.389760721	0	0
AT1G07000	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.334213831	1
AT1G07010	0	0	0	0	0	0	-2.069409628	0	0	0	0	-2.462195174	0	0	2
AT1G07050	0	0	0	0	0	0	0	0	0	2.512822354	0	0	0	0	5
AT1G07160	0	0	0	0	-2.455648108	0	0	-2.001839519	-2.181618608	-2.315036852	-2.18053385	-2.513093046	-2.392814607	0	0
AT1G07180	0	0	0	0	0	0	0	0	0	0	0	-2.331961408	0	0	2
AT1G07187	0	0	-2.269538654	0	-2.401597124	0	0	0	0	0	0	0	-2.251123708	0	0
AT1G07367	0	0	0	0	2.801914006	0	0	0	0	4.403057418	0	0	2.505740182	0	2
AT1G07373	0	0	0	0	3.000436834	0	0	0	0	4.224482439	0	0	2.350163569	0	2
AT1G07390	0	0	0	0	-2.448448982	0	0	0	0	0	0	0	-2.258261263	0	0
AT1G07450	0	0	0	0	0	0	0	0	0	0	0	-2.048357901	0	0	2
AT1G07610	0	0	0	0	0	0	0	0	0	0	0	-2.088064383	0	0	0
AT1G07620	0	0	0	0	0	0	-2.143956188	0	0	0	0	0	0	-2.473089887	1
AT1G08050	0	0	0	0	-2.022926935	-2.084228134	0	0	0	-2.407990865	-2.046762176	0	-2.189396028	0	0
AT1G08090	0	0	0	0	0	0	0	0	2.480842039	0	0	0	0	0	1
AT1G08115	0	0	0	0	0	0	0	0	0	0	0	2.010445004	0	0	0
AT1G08173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AT1G08830	0	0	0	0	-3.043611065	0	0	0	0	-2.454255062	0	0	-2.715811544	0	0
AT1G08860	-2.849377815	0	0	0	-2.261938626	-2.440071133	-2.650659935	-2.243188005	0	-2.283642376	-2.982666617	-2.730928745	0	-2.314977512	1
AT1G08890	2.503780884	0	2.53531014	2.113984252	0	2.163681921	2.790718534	2.550263998	0	0	3.594802082	3.631600308	0	2.130758221	5
AT1G09080	0	0	0	-2.501804632	-2.211992975	0	-2.768692688	0	0	-2.094564859	0	0	-2.418127255	-2.565832926	1
AT1G09180	0	0	0	0	-2.196653446	0	0	0	0	0	0	0	0	0	0
AT1G09240	0	0	0	0	0	0	0	0	0	-2.092970971	0	0	0	0	0
AT1G09350	0	0	3.225418205	0	0	2.323012414	2.721814174	2.14661277	0	0	4.262052096	3.479151333	0	0	0
AT1G09410	0	0	-2.170778565	0	0	0	0	0	0	0	0	0	0	0	3
AT1G09420	2.430647993	0	2.179185135	0	0	0	0	0	0	0	0	0	0	2.371687925	3
AT1G09680	-2.231475276	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AT1G09820	0	0	0	0	0	0	0	0	0	0	0	-2.029786272	0	0	2
AT1G09910	0	0	0	0	-2.040283197	0	0	0	0	0	0	0	0	0	3
AT1G09930	0	0	0	0	-2.458847016	0	0	0	0	0	0	0	0	-2.132843302	0
