Estimated molecular formula	M/Z	Mlp102036	Mlp106078	Mlp123227	Mlp123531	Mlp124256	Mlp124266	Mlp124357	Mlp124466	Mlp124497	Mlp124499	Mlp124518	Mlp37347	Mlp72983	Mlp123218
C10H10O8	257.03029	-0.16686917	-1.139788696	-2.584035954	-0.782834918	-1.342312569	-1.690988777	-0.229816465	-0.733984937	-1.006098667	-0.780645688	-1.634151528	-0.656227061	-0.195455043	-0.186915477
C10H12O5N2	239.067344	1.763367168	1.519766053	1.470787856	2.030169009	1.031933637	2.079423625	1.889110262	1.444930371	1.318400888	1.009164074	1.445584486	1.465699685	0	1.366384307
C10H12O7	243.051026	0.318117681	-1.392766793	-2.17845213	-0.327736648	-1.307200663	-1.66929451	0.089795349	-0.914644752	-0.604499528	-0.431313637	-1.329083948	-0.819515758	-0.666558887	-0.061932693
C10H12O8	259.04594	-0.45979991	-2.012884808	-2.654732999	-0.878960248	-1.77074736	-2.382780016	-0.383712943	-1.017021979	-1.038694236	-0.793200294	-2.24777233	-1.211576064	-0.687953328	-0.63317536
C10H13O8N1	274.056839	0.755867518	-0.369042524	-2.539798698	1.074005442	-2.194730541	-1.418169518	-0.312866395	-0.408944625	-0.648953422	-1.146592321	-0.381485192	0.653202816	-1.157816809	1.934670015
C10H14O5N2	241.082995	1.061425774	0	2.182064382	0	0.886424517	0	0	0	0	0.999410238	0.554643057	0.672317735	0.506040806	0.427816495
C10H14O6N2	257.077909	3.34661224	1.23139484	1.843762666	2.146085787	0.291109691	1.92631715	1.865312589	1.109771739	1.584727618	1.716707882	2.182070637	0.969195811	-0.163335007	3.250694039
C10H15O7N1	260.077575	2.371386198	2.688584282	1.388896045	1.462549054	0.22576589	2.070997831	2.040048111	1.646116131	1.135466943	1.687300984	1.517388425	2.633807143	0.03217639	1.492129631
C10H17O8N1	278.088139	3.296618194	0	0.558074068	0	0	1.797803406	0	0.464561431	0	0.533506402	2.522742136	1.512171365	0	2.54217251
C10H19O3N1	200.129216	0.615990003	1.111074797	2.292615513	0.553358962	-0.205381568	0.226365854	0.01854434	-0.402853428	-0.840899075	-0.294999467	-0.63493015	0.358387666	0.147944052	1.109180687
C10H6O2N2	185.035651	0.796062227	1.070491901	1.047453061	0.042535486	1.62163128	1.753571393	1.363566138	0.351452293	0.876285889	0.918598374	1.85329787	0.739079023	-2.198563977	0.208369121
C10H6O8	252.99899	2.567583436	0	4.060676189	2.476690775	3.557022162	3.507760864	4.813899301	1.079069635	0	2.437578729	3.497577715	0	1.348276775	1.682728819
C10H8O2N2	187.051301	0.535973212	0.879326985	0.934401014	-0.089824266	1.451403691	1.279886803	0.691900935	0.381167649	0.612694335	0.737529101	1.098164717	0.476031681	-2.098720115	-0.50917933
C10H8O3	175.040067	5.263975714	0	0.515109059	0	0	0	0	0.567146848	0	0.522811478	0	0.474553834	0	0.552868114
C10H9O6N1	238.03571	-2.534244617	-3.536805394	-3.536805394	-1.901482756	-0.973984848	-2.735952914	-1.459593169	-0.959201823	-3.019582712	-3.536805394	-3.536805394	-2.047642636	-0.345299307	-1.893670855
C11H10O6	237.040461	-1.22664284	-1.001003916	-2.070863244	-0.263986999	-0.535725349	-1.096525558	-0.230160966	0.094282116	-0.812705556	-1.533918777	-1.159801852	-0.18223274	0.066345214	-0.832361574
C11H10O7	253.035376	-1.225125601	-1.565391234	-2.375693438	-1.036003222	-0.689555762	-1.567153718	-0.444590869	-0.419728274	-1.365785635	-1.480688894	-1.586415401	-0.838437067	-0.129084444	-1.237989794
C11H10O9	285.025205	-0.210812743	-0.466293116	-1.798738728	-0.476570128	-1.335226144	-2.374284752	-0.724516385	-0.219936225	-0.917193596	-1.241308816	-0.871979862	-0.451669088	0.05771863	0.095007842
C11H12O5	223.061196	-1.3811568	-0.924225583	-3.50261754	-0.36743118	-0.996869152	-3.666961998	-3.120427289	-1.095973866	-1.889332644	-2.434932054	-2.299824997	-0.760459991	-0.210276029	-0.038791082
C11H12O9	287.040855	-0.640905794	-1.755909213	-2.560929382	-1.105545978	-1.894206468	-2.229019507	-0.463595302	-1.104602261	-1.201060525	-1.022551562	-1.802370173	-1.116994083	-0.368225554	-0.895708716
C11H14O6	241.071761	0.669144036	-0.196303946	2.260243662	0.095763858	-0.623966378	-0.059888492	0.086245441	-0.268081054	-0.297446489	-0.233632547	0.226867826	-0.573070274	0.035380064	-0.23488526
C11H14O6N2	269.077909	1.965199027	0.767665678	2.56273744	0	0	0.908744418	0.557092388	0	1.31788941	1.169069344	2.505096452	0.772674432	0	1.450243444
C11H14O9	289.056505	-0.695829369	-1.48689202	-2.077781141	-0.894114245	-1.218241297	-1.45493277	-0.264852587	-0.48668492	-1.307798195	-0.725410882	-2.077781141	-0.831609472	-0.309014875	-0.361674646
C11H15O10N1	320.062319	2.065156123	0.907328109	1.787549159	0.916500375	-0.268516244	0.870096054	1.138657141	0.140585073	1.572892519	2.248013997	2.122817626	1.266646353	0.044029424	0.971973152
C11H15O3N1	208.097916	1.254749583	1.100371696	2.067163289	0.970682707	0.68536669	1.132051043	1.068141786	0.561181079	0	1.631295677	1.712845515	0	0.411044778	0
C11H16O8	275.07724	-0.100076429	-1.944393455	-1.196692321	-0.516373826	-3.003781171	-1.266593999	0.169734112	-0.492603845	-0.685427405	-0.731912078	-1.193580932	-1.090329906	-0.31928123	-0.377055985
C11H17O7N1	274.093225	1.755063197	1.95802587	1.0198917	0.537747367	-0.039775111	2.110754147	1.532780036	1.422998366	0.809766992	1.258504077	1.639947091	2.350431814	-0.037952273	1.194378097
C11H17O8N1	290.088139	2.178701709	2.444287904	2.129195783	1.402889781	0.427139351	2.36535925	1.702695485	1.847839626	1.621243256	2.29665313	2.125612087	2.387180455	0.115682521	1.9351163
C11H19O9N1	308.098704	4.691157054	2.378408584	3.868995207	2.679173032	-1.018006042	2.778152341	2.318575523	0.56625912	2.436227722	3.525216089	3.869882927	2.485629313	-0.553306537	3.734083516
C11H20O6	247.118711	1.213606081	1.021625576	2.024038251	1.275228184	1.083961493	2.355553653	2.14300859	1.010955332	1.593362792	1.179040573	1.781351202	0.746280817	0.204684136	0.786812371
C11H21O3N1	214.144866	0.294023856	-1.185804444	0.721599385	-0.336642973	-2.48339205	-0.251232383	-0.498956775	-0.651465275	-0.012298466	0.364122307	0.16520307	-0.645394445	-1.60408376	0.609430781
C11H8O2	171.045153	0.196439714	1.029986034	0.512273642	-0.645525222	1.043385497	0.94528078	0.436597181	-0.14077348	0.751334911	-0.265441756	2.031356212	0.228131716	-1.095798148	-0.61036218
C11H8O2N2	199.051301	-0.594841582	1.180015181	-0.006216934	0.094019685	2.555856359	1.162851816	0.711421655	0.722532293	0.802874316	0.84858205	1.316007427	-0.211750714	-2.469700002	-1.193865199
C11H8O8	267.01464	1.415585588	0.149709269	1.36009218	1.273617638	1.072543195	0.881863143	2.06859785	0.135452458	-0.495412326	0.644387687	0.741127771	-0.713875932	0.22368977	2.021773291
C12H10O7	265.035376	0.225043538	-1.154219455	-1.857839768	-0.421273049	-1.194422192	-2.017880149	-0.336869689	-0.654016412	-0.599723121	-0.177662766	-1.426745117	-0.671244154	-0.131574623	0.122767092
