Sample	Up_regulated	Down_regulated	Total	Mean_TPM	colors	LR_residuals
Mlp102036	65	251	316	150.0920954	yellow1	-42.74494493
Mlp106078	26	58	84	2220.196887	red	-395.6103464
Mlp123218	135	229	364	392.1648442	chartreuse	-8.878635211
Mlp123227	33	203	236	309.4423013	chocolate4	-132.0487863
Mlp123531	99	799	898	1182.637659	yellow4	478.9687186
Mlp124256	61	252	313	2757.552641	deepskyblue	-197.9844678
Mlp124266	84	544	628	3670.196869	lightblue1	63.72977033
Mlp124357	77	91	168	55.10902241	darkgreen	-185.1992512
Mlp124466	120	119	239	1163.82834	goldenrod2	-178.9330781
Mlp124497	125	474	599	2890.377532	purple	80.26040127
Mlp124499	103	261	364	276.0219929	hotpink	-2.097503928
Mlp124518	176	409	585	3755.909176	deeppink3	15.72536071
Mlp37347	76	510	586	1535.779879	brown	146.350112
Mlp72983	105	665	770	1054.286408	grey67	358.462651
						
# Coefficients						
# 	Estimate	Std. Error	t value	Pr(>|t|)	Rsquared	
# (Intercept)	349.9816488	99.3498048	3.522721	0.00420233	0.1016475	
# Mean_TPM	0.05838613	0.0501065	1.16524	0.26656203		
