Sample	Metabolites Assigned	Metabolites identified	Metabolites Up-regulated	Metabolites Down-regulated	Deregulated	Ratio of metabolites up-regulated	Ratio of metabolites down-regulated	Ratio of metabolites deregulated	Mean TPM	Colors	LR_number_residuals	LR_ratio_residuals
Mlp102036	3045	3719	164	114	278	4.409787577	3.065340145	7.475127723	150.0920954	yellow1	101.9176548	2.645016503
Mlp106078	2796	3522	46	73	119	1.306076093	2.072685974	3.378762067	2220.196887	red	-46.45405715	-1.241465009
Mlp123218	2695	3515	97	42	139	2.759601707	1.19487909	3.954480797	392.1648442	chartreuse	-35.83950045	-0.851087109
Mlp123227	2679	3645	172	181	353	4.718792867	4.965706447	9.684499314	309.4423013	chocolate4	177.7357872	4.870544321
Mlp123531	3073	3599	70	43	113	1.944984718	1.194776327	3.139761045	1182.637659	yellow4	-57.78107171	-1.585662266
Mlp124256	2815	3470	25	52	77	0.720461095	1.498559078	2.219020173	2757.552641	deepskyblue	-85.69517665	-2.346725385
Mlp124266	2754	3595	90	154	244	2.503477051	4.283727399	6.787204451	3670.196869	lightblue1	85.99050197	2.313990224
Mlp124357	3151	3689	64	84	148	1.734887503	2.277039848	4.011927352	55.10902241	darkgreen	-28.57000529	-0.827814028
Mlp124466	3026	3530	24	45	69	0.679886686	1.274787535	1.954674221	1163.82834	goldenrod2	-101.8776421	-2.772656133
Mlp124497	2937	3601	82	89	171	2.277145237	2.471535685	4.748680922	2890.377532	purple	8.986770087	0.196402237
Mlp124499	2946	3613	118	99	217	3.265983947	2.740105176	6.006089123	276.0219929	hotpink	41.56420139	1.188745705
Mlp124518	2735	3547	117	120	237	3.298562165	3.383140682	6.681702847	3755.909176	deeppink3	79.43056427	2.217178835
Mlp37347	2954	3576	58	43	101	1.621923937	1.20246085	2.824384787	1535.779879	brown	-67.96797642	-1.865234079
Mlp72983	3056	3575	22	78	100	0.615384615	2.181818182	2.797202797	1054.286408	grey67	-71.44004997	-1.941233813
# Assigned: detected in the sample												
# Identified: detected in the sample and/or in the control												
# Ratio of metabolites up- down- or deregulated: number of metabolites deregulated / number of metabolites identified												
# Colors: names of colors used to identify each sample in the plot												
# LR_number_residuals: residuals of the linear regression using number of metabolites deregulated as dependent variable												
# LR_ratio_residuals: residuals of the linear regression using ratio of metabolites deregulated as dependent variable												
												
# Coefficients (Ratio of metabolites deregulated)												
#	 Estimate	# Std. Error	t value	Pr(>|t|)	R squared							
# (Intercept)	4.845328783	1.002362048	4.833911	0.000409259	0.003340694							
# Mean_TPM	-0.000101388	0.000505536	-0.200556	0.844404693								
# Coefficients (Number of metabolites deregulated)												
#	Estimate	Std. Error	t value	Pr(>|t|)	R squared							
# (Intercept)	176.8529449	36.88157086	4.7951576	0.000437125	0.00630869							
# Mean_TPM	-0.005134179	0.01860101	-0.2760161	0.787231616								
