# Data from FigS3: Principal component analysis of transgenic lines using rlog tranformation of read counts.					# PC1: 33% variance	# PC2: 15% variance
Sample	Name	Colors	PC1	PC2		
Control	Control_1	black	-42.5962059	81.2937519		
Control	Control_2	black	-33.3268923	38.7552862		
Control	Control_3	black	-29.01526	45.9325792		
Mlp37347	Mlp37347_1	brown	-37.8441619	-50.1795754		
Mlp37347	Mlp37347_2	brown	-35.6339949	-48.9180734		
Mlp37347	Mlp37347_3	brown	-39.1683846	-49.957757		
Mlp72983	Mlp72983_1	grey67	38.6112997	-18.0143828		
Mlp72983	Mlp72983_2	grey67	47.7072845	-22.3500705		
Mlp72983	Mlp72983_3	grey67	35.6822638	-1.520259		
Mlp102036	Mlp102036_1	yellow1	43.847219	0.5705297		
Mlp102036	Mlp102036_2	yellow1	54.6136026	-5.2212915		
Mlp102036	Mlp102036_3	yellow1	-31.5460008	31.7796221		
Mlp106078	Mlp106078_1	red	53.0223172	-12.5762907		
Mlp106078	Mlp106078_2	red	52.0603445	-5.5888329		
Mlp106078	Mlp106078_3	red	-68.1962256	12.0452999		
Mlp123218	Mlp123218_1	chartreuse	-42.1850974	6.4680082		
Mlp123218	Mlp123218_2	chartreuse	-29.8713977	11.9952109		
Mlp123218	Mlp123218_3	chartreuse	-48.8785656	27.2623392		
Mlp123227	Mlp123227_1	chocolate4	54.2896803	8.5086971		
Mlp123227	Mlp123227_2	chocolate4	47.9175191	-2.3404292		
Mlp123227	Mlp123227_3	chocolate4	51.2046344	53.5809145		
Mlp123531	Mlp123531_1	yellow4	-34.3137002	-67.5701593		
Mlp123531	Mlp123531_2	yellow4	-37.9065964	-65.3107133		
Mlp123531	Mlp123531_3	yellow4	-43.7463753	-58.0665002		
Mlp124256	Mlp124256_1	deepskyblue	73.9498964	-3.618297		
Mlp124256	Mlp124256_2	deepskyblue	-42.2129781	-17.4178022		
Mlp124256	Mlp124256_3	deepskyblue	-62.3157735	24.8676277		
Mlp124266	Mlp124266_1	lightblue1	67.6779021	-6.3159206		
Mlp124266	Mlp124266_2	lightblue1	63.8238688	-3.9440461		
Mlp124266	Mlp124266_3	lightblue1	65.2139552	15.7063261		
Mlp124357	Mlp124357_1	darkgreen	70.9854746	0.3439851		
Mlp124357	Mlp124357_2	darkgreen	67.2910382	-11.1571675		
Mlp124357	Mlp124357_3	darkgreen	-90.1594791	59.5142439		
Mlp124466	Mlp124466_1	goldenrod2	-67.6051059	30.6512766		
Mlp124466	Mlp124466_2	goldenrod2	-66.6620953	31.8756038		
Mlp124466	Mlp124466_3	goldenrod2	-72.7126707	24.4644645		
Mlp124497	Mlp124497_1	purple	-63.6493728	-53.4733643		
Mlp124497	Mlp124497_2	purple	-30.0336286	-45.2017191		
Mlp124497	Mlp124497_3	purple	-32.5632348	-50.2014468		
Mlp124499	Mlp124499_1	hotpink	0.6370769	-4.2272425		
Mlp124499	Mlp124499_2	hotpink	9.5154861	3.0302132		
Mlp124499	Mlp124499_3	hotpink	-1.0064817	30.7602002		
Mlp124518	Mlp124518_1	deeppink3	68.7543818	5.3712403		
Mlp124518	Mlp124518_2	deeppink3	77.5133678	17.040252		
Mlp124518	Mlp124518_3	deeppink3	38.8310664	41.3536686		
