	Mlp124466	Mlp123227	Mlp123218	Mlp102036	Mlp106078	Mlp124499	Mlp124497	Mlp124518	Mlp37347	Mlp123531	Mlp72983	Mlp124357	Mlp124266	Mlp124256	Pathway name	Pathway ID
AT1G44575	0	0	0	0	0	0	0	-2.024968504	0	0	0	0	0	0	Photosynthesis	path:ath00195
AT3G01440	0	0	0	0	0	0	0	-2.709684845	0	0	0	0	-2.055092956	0	Photosynthesis	path:ath00195
AT4G28660	0	0	0	0	0	0	0	-2.414480751	0	0	0	0	0	0	Photosynthesis	path:ath00195
ATCG00280	0	0	0	0	0	0	0	0	-2.048653904	-2.333839902	0	0	0	0	Photosynthesis	path:ath00195
ATCG00340	0	0	0	0	0	0	-2.924339852	0	-2.952533436	-2.992806267	0	0	0	0	Photosynthesis	path:ath00195
ATCG00350	0	0	0	0	0	0	-2.820077265	0	-2.85185444	-2.923182658	0	0	0	0	Photosynthesis	path:ath00195
ATCG00570	0	0	0	0	0	0	0	2.068696263	0	0	0	0	0	0	Photosynthesis	path:ath00195
ATCG00600	0	0	0	0	0	0	0	2.025293896	0	0	0	0	0	0	Photosynthesis	path:ath00195
ATCG00630	0	0	0	0	0	0	0	0	-2.031424868	-2.209694085	0	0	0	0	Photosynthesis	path:ath00195
ATCG01060	0	0	0	0	0	0	0	2.735735558	0	0	0	0	0	0	Photosynthesis	path:ath00195
AT1G10070	0	0	0	0	0	0	0	0	-2.02129621	-2.21375248	0	0	0	0	Cysteine and methionine metabolism	path:ath00270
AT1G12010	0	0	-4.320240911	-4.146301512	0	0	0	0	0	-4.966028352	-4.366455688	0	0	0	Cysteine and methionine metabolism	path:ath00270
AT1G50110	0	0	0	0	0	0	0	-2.136315801	0	0	0	0	0	0	Cysteine and methionine metabolism	path:ath00270
AT1G55920	0	0	0	0	0	0	0	0	-2.335183803	-2.22358552	0	0	0	0	Cysteine and methionine metabolism	path:ath00270
AT1G64660	0	0	0	0	0	0	-2.443191962	0	-3.233426534	-3.228545645	0	0	0	0	Cysteine and methionine metabolism	path:ath00270
AT2G24850	0	-2.466760268	0	0	0	0	-2.03448612	0	0	0	-2.822692623	0	-2.794738961	-2.490137615	Cysteine and methionine metabolism	path:ath00270
AT2G26400	0	-2.362609889	0	0	0	0	0	0	-2.036355381	0	-2.854977809	0	-2.590028973	0	Cysteine and methionine metabolism	path:ath00270
AT3G03780	0	0	0	0	0	0	2.088068529	0	0	0	0	0	0	0	Cysteine and methionine metabolism	path:ath00270
AT3G08860	0	0	0	0	0	0	3.138171921	2.348823409	2.121953641	2.198429158	0	0	0	0	Cysteine and methionine metabolism	path:ath00270
AT3G19480	0	0	0	0	0	0	0	-2.795193372	0	0	0	0	0	0	Cysteine and methionine metabolism	path:ath00270
AT3G22740	0	0	0	-2.032592724	0	0	0	0	0	0	0	0	0	0	Cysteine and methionine metabolism	path:ath00270
AT4G08040	0	0	0	0	0	0	0	0	0	0	-2.144547978	0	-2.107184756	0	Cysteine and methionine metabolism	path:ath00270
AT4G11280	2.274556361	0	0	0	0	0	0	0	0	0	0	0	0	0	Cysteine and methionine metabolism	path:ath00270
AT4G26200	0	-2.642078909	0	0	0	-2.732428097	0	-2.125076732	0	0	-2.03539942	0	-2.103686545	-3.143538889	Cysteine and methionine metabolism	path:ath00270
AT4G37770	0	0	0	0	0	0	-2.112806336	0	0	-2.327214629	0	0	0	0	Cysteine and methionine metabolism	path:ath00270
AT5G15950	0	-2.496313865	0	0	0	0	-2.385114639	-3.232881441	-2.802630567	-2.432237442	0	0	-2.55695253	-2.13001921	Cysteine and methionine metabolism	path:ath00270
AT5G53970	0	0	0	0	0	0	0	0	-2.183013551	-2.418956589	0	0	0	0	Cysteine and methionine metabolism	path:ath00270
AT1G02920	0	0	0	0	0	0	0	0	0	-2.139924241	-2.120268808	0	0	0	Glutathione metabolism	path:ath00480
AT1G09420	0	0	2.179185135	2.430647993	0	0	0	0	0	0	2.371687925	0	0	0	Glutathione metabolism	path:ath00480
AT1G10370	0	0	0	0	0	0	0	-2.118460307	0	0	0	0	0	0	Glutathione metabolism	path:ath00480
AT1G17180	0	0	0	0	3.341231648	0	0	0	0	0	0	0	0	0	Glutathione metabolism	path:ath00480
AT1G19550	0	0	4.13463494	4.234675337	0	0	0	0	0	5.230992719	4.557226922	0	0	0	Glutathione metabolism	path:ath00480
AT1G27130	0	0	0	0	0	0	0	0	0	0	-2.555935333	0	0	0	Glutathione metabolism	path:ath00480
AT1G69930	0	0	0	0	0	-2.191095927	0	0	0	0	0	0	0	0	Glutathione metabolism	path:ath00480
AT2G02930	0	0	0	0	0	0	-2.290093341	0	-2.209764427	-2.699688611	0	0	0	0	Glutathione metabolism	path:ath00480
AT2G29460	-2.379197764	0	0	0	0	-2.221857207	-2.374825908	0	-2.707264538	-2.722738455	0	0	0	0	Glutathione metabolism	path:ath00480
AT2G29470	-3.834432483	0	-3.175318321	-2.215379059	0	-3.127797565	-3.015697642	0	-3.301629288	-3.008284356	-2.840932535	0	0	-2.80309643	Glutathione metabolism	path:ath00480
AT4G02520	0	0	0	0	0	0	0	0	0	-2.064407273	0	0	0	0	Glutathione metabolism	path:ath00480
AT4G31870	0	-2.095851606	0	0	0	-2.04325845	0	-2.960994841	0	0	-2.411508576	0	-2.197741971	0	Glutathione metabolism	path:ath00480
AT5G02780	-2.762926712	0	0	0	0	-2.50872162	-2.797882022	0	-2.904028356	-2.346071963	0	0	-2.056306387	-2.338698312	Glutathione metabolism	path:ath00480
AT5G26220	0	0	0	0	0	0	0	0	0	0	-2.341962231	0	-2.035173017	0	Glutathione metabolism	path:ath00480
AT1G26560	0	0	0	0	0	0	0	-2.382375728	0	0	-2.293689078	0	-2.183937938	0	Starch and sucrose metabolism	path:ath00500
AT1G60270	0	-2.088841541	0	0	0	0	0	-2.314462416	0	0	0	0	-2.050808715	0	Starch and sucrose metabolism	path:ath00500
AT1G65610	-2.246016486	0	0	0	0	-2.622415246	-2.512991524	0	0	0	0	0	-2.287871252	-2.086005359	Starch and sucrose metabolism	path:ath00500
AT1G66270	2.449662426	0	0	0	0	0	0	0	0	0	2.090791213	0	0	0	Starch and sucrose metabolism	path:ath00500
AT1G66280	2.857533489	0	2.10059652	0	0	0	0	0	0	0	2.538580463	2.752320591	0	2.396424332	Starch and sucrose metabolism	path:ath00500
AT2G22190	0	0	2.065775612	0	0	0	0	0	0	0	0	0	0	0	Starch and sucrose metabolism	path:ath00500
AT2G32290	0	-2.236536882	0	0	0	0	0	-2.052113251	0	0	0	0	-2.28240973	0	Starch and sucrose metabolism	path:ath00500
AT3G13784	0	0	0	0	0	0	3.655682794	0	0	0	0	0	0	0	Starch and sucrose metabolism	path:ath00500
AT3G43190	0	0	2.460970432	0	0	0	0	0	0	2.168638531	0	2.052545811	0	0	Starch and sucrose metabolism	path:ath00500
AT3G46970	0	0	2.161731989	0	0	2.605852269	2.509183936	0	0	0	0	0	0	0	Starch and sucrose metabolism	path:ath00500
AT3G47010	0	0	-3.559610784	-4.213799648	0	0	0	0	0	-4.666090747	-3.992298966	0	0	0	Starch and sucrose metabolism	path:ath00500
AT3G60120	-2.337131273	0	0	0	0	0	-2.712014142	0	-2.876163956	0	0	0	0	0	Starch and sucrose metabolism	path:ath00500
AT4G00490	0	0	0	0	0	0	0	-2.34138772	0	0	0	0	0	0	Starch and sucrose metabolism	path:ath00500
AT4G02280	0	0	0	0	0	0	2.119982683	0	0	0	0	0	0	0	Starch and sucrose metabolism	path:ath00500
AT4G09020	0	0	3.048077273	2.049425149	0	3.004395224	2.779202918	0	2.241754111	2.627853639	0	0	0	2.261101181	Starch and sucrose metabolism	path:ath00500
AT4G10120	0	-2.761857606	0	0	0	0	0	-2.591884102	0	0	-2.71882528	0	-2.96792194	0	Starch and sucrose metabolism	path:ath00500
AT4G15210	0	0	0	0	0	0	0	0	0	0	-2.140158987	0	-2.064272766	0	Starch and sucrose metabolism	path:ath00500
AT4G17090	0	-2.32447791	0	0	-2.053077887	0	0	0	-2.315656013	0	-2.227536624	0	-2.325480648	0	Starch and sucrose metabolism	path:ath00500
AT4G27820	0	-2.183481156	0	0	0	0	0	0	0	0	0	0	0	0	Starch and sucrose metabolism	path:ath00500
AT4G39770	0	0	0	0	0	0	0	0	0	-2.28432	0	0	0	0	Starch and sucrose metabolism	path:ath00500
AT5G10100	0	-2.056399619	0	0	0	0	0	0	0	0	0	0	0	0	Starch and sucrose metabolism	path:ath00500
AT5G11920	0	-2.21311956	0	0	0	0	0	0	0	0	-2.168768098	0	-2.61623771	0	Starch and sucrose metabolism	path:ath00500
AT5G64860	0	0	2.082449413	0	0	2.226711494	2.386733599	0	2.172820837	2.208291116	0	0	0	0	Starch and sucrose metabolism	path:ath00500
AT5G65140	0	0	0	0	0	0	0	-2.197179496	0	0	0	0	0	0	Starch and sucrose metabolism	path:ath00500
AT1G20620	0	0	0	0	0	0	0	2.303562217	0	0	0	0	0	0	Glyoxylate and dicarboxylate metabolism	path:ath00630
AT1G70580	0	0	0	0	0	0	0	-2.151595393	0	0	0	0	0	0	Glyoxylate and dicarboxylate metabolism	path:ath00630
AT3G21720	4.802972712	0	0	0	0	0	0	0	0	0	4.789388129	0	0	0	Glyoxylate and dicarboxylate metabolism	path:ath00630
AT4G33010	0	0	0	0	0	0	0	-2.448307159	0	0	0	0	-2.042849377	0	Glyoxylate and dicarboxylate metabolism	path:ath00630
AT4G37560	0	0	0	0	0	0	0	-2.001683942	0	-2.292988482	0	0	0	0	Glyoxylate and dicarboxylate metabolism	path:ath00630
AT5G03860	2.14680246	0	0	0	0	0	0	0	0	0	2.815369554	0	0	0	Glyoxylate and dicarboxylate metabolism	path:ath00630
AT5G04140	0	0	0	0	0	0	0	-2.346414947	0	0	0	0	0	0	Glyoxylate and dicarboxylate metabolism	path:ath00630
AT5G36790	0	0	3.223924762	0	0	0	0	0	0	0	0	0	0	0	Glyoxylate and dicarboxylate metabolism	path:ath00630
AT5G37600	0	0	0	0	0	0	0	0	0	0	0	0	-2.209094769	0	Glyoxylate and dicarboxylate metabolism	path:ath00630
AT5G38420	0	0	0	0	0	0	0	-2.312841352	0	0	0	0	0	0	Glyoxylate and dicarboxylate metabolism	path:ath00630
AT5G38430	0	0	0	0	0	0	0	-2.216339829	0	0	0	0	0	0	Glyoxylate and dicarboxylate metabolism	path:ath00630
AT1G14540	0	-2.110658918	-2.172786189	0	-2.241040515	-3.536801545	-4.103532881	-2.952921435	-3.996817183	-3.568704854	-2.974585122	-2.894728013	-3.716440613	-3.139645237	Phenylpropanoid biosynthesis	path:ath00940
AT1G26560	0	0	0	0	0	0	0	-2.382375728	0	0	-2.293689078	0	-2.183937938	0	Phenylpropanoid biosynthesis	path:ath00940
