# Enriched GO terms in each WGCNA gene set.			
Gene set	GO ID	GO term description	Adjusted pValue
Set 0	GO:0009414	Response to water deprivation	9.35E-05
Set 0	GO:0009415	Response to water	9.35E-05
Set 0	GO:0009631	Cold acclimation	4.01E-04
Set 0	GO:0009620	Response to fungus	7.16E-04
Set 0	GO:0071456	Cellular response to hypoxia	7.16E-04
Set 0	GO:0036294	Cellular response to decreased oxygen levels	7.16E-04
Set 0	GO:0071453	Cellular response to oxygen levels	7.16E-04
Set 0	GO:0001666	Response to hypoxia	8.23E-04
Set 0	GO:0036293	Response to decreased oxygen levels	9.08E-04
Set 0	GO:0070482	Response to oxygen levels	9.08E-04
Set 0	GO:0042493	Response to drug	2.21E-03
Set 0	GO:0009409	Response to cold	3.00E-03
Set 0	GO:0050832	Defense response to fungus	4.39E-03
Set 0	GO:0006722	Triterpenoid metabolic process	5.13E-03
Set 0	GO:0006721	Terpenoid metabolic process	5.13E-03
Set 0	GO:0034614	Cellular response to reactive oxygen species	5.13E-03
Set 0	GO:0009651	Response to salt stress	5.78E-03
Set 0	GO:0010150	Leaf senescence	5.78E-03
Set 0	GO:0009636	Response to toxic substance	5.78E-03
Set 0	GO:0009723	Response to ethylene	6.63E-03
Set 0	GO:0016114	Terpenoid biosynthetic process	6.87E-03
Set 0	GO:0090693	Plant organ senescence	7.73E-03
Set 0	GO:0007568	Aging	1.00E-02
Set 0	GO:0098754	Detoxification	1.15E-02
Set 0	GO:0002376	Immune system process	1.62E-02
Set 0	GO:0016104	Triterpenoid biosynthetic process	1.65E-02
Set 0	GO:1901698	Response to nitrogen compound	2.22E-02
Set 0	GO:0045087	Innate immune response	2.56E-02
Set 0	GO:0097237	Cellular response to toxic substance	2.63E-02
Set 0	GO:0006720	Isoprenoid metabolic process	2.63E-02
Set 0	GO:0016115	Terpenoid catabolic process	3.53E-02
Set 0	GO:0000302	Response to reactive oxygen species	3.53E-02
Set 0	GO:0006955	Immune response	3.54E-02
Set 0	GO:0071472	Cellular response to salt stress	3.54E-02
Set 0	GO:0009828	Plant-type cell wall loosening	3.54E-02
Set 0	GO:0008299	Isoprenoid biosynthetic process	3.54E-02
Set 0	GO:0010200	Response to chitin	3.57E-02
Set 0	GO:0006979	Response to oxidative stress	3.57E-02
Set 0	GO:0000160	Phosphorelay signal transduction system	4.22E-02
Set 1	GO:0042493	Response to drug	4.48E-26
Set 1	GO:0046677	Response to antibiotic	1.07E-16
Set 1	GO:0042742	Defense response to bacterium	1.65E-16
