# Information about metabolites deregulated. Metabolite identification was done with Pathos (using the m/z value) or and KEGGREST (using the chemical formula estimated with an in house MATLAB script). ""Metabolite identification"", ""Search engine"" and ""KEGG db identifier"" columns were left empty when neither chemical formula nor m/z were found in the database. Columns starting with ""Mlp"" indicate the fold change of the metabolite in the transgenic line expressing the corresponding CE.																		
m/z	Molecular formula	Metabolite identification	Search engine	KEGG db identifier	Mlp102036	Mlp106078	Mlp123227	Mlp123531	Mlp124256	Mlp124266	Mlp124357	Mlp124466	Mlp124497	Mlp124499	Mlp124518	Mlp37347	Mlp72983	Mlp123218
164.035316	C8H7NO3	4-Pyridoxolactone	Pathos	C00971	0	0	2.078070381	0	0	0	0	0	0	0	2.534283381	0	0	0
164.035316	C8H7NO3	4-Nitroacetophenone	KEGGREST	C02803	0	0	2.078070381	0	0	0	0	0	0	0	2.534283381	0	0	0
164.035316	C8H7NO3	"3,4-Dihydroxymandelonitrile"	KEGGREST	C03757	0	0	2.078070381	0	0	0	0	0	0	0	2.534283381	0	0	0
164.035316	C8H7NO3	Formylanthranilate	Pathos	C05653	0	0	2.078070381	0	0	0	0	0	0	0	2.534283381	0	0	0
164.035316	C8H7NO3	5-Pyridoxolactone	Pathos	C06052	0	0	2.078070381	0	0	0	0	0	0	0	2.534283381	0	0	0
164.035316	C8H7NO3	HBOA	Pathos	C15769	0	0	2.078070381	0	0	0	0	0	0	0	2.534283381	0	0	0
164.035316	C8H7NO3	Isatinate	KEGGREST	C21155	0	0	2.078070381	0	0	0	0	0	0	0	2.534283381	0	0	0
170.045881	C7H9NO4	"2,3,4,5-Tetrahydrodipicolinate"	Pathos	C03972	0	-2.23445109	0	0	-2.23445109	0	0	0	0	0	-2.23445109	0	0	0
170.045881	C7H9NO4	AminoDHS	Pathos	C12108	0	-2.23445109	0	0	-2.23445109	0	0	0	0	0	-2.23445109	0	0	0
170.045881	C7H9NO4	2-Formyloxymethylclavam	KEGGREST	C17356	0	-2.23445109	0	0	-2.23445109	0	0	0	0	0	-2.23445109	0	0	0
170.045881	C7H9NO4	Cetoniacytone B	KEGGREST	C21249	0	-2.23445109	0	0	-2.23445109	0	0	0	0	0	-2.23445109	0	0	0
171.045153	C11H8O2	Menadione	KEGGREST	C05377	0	0	0	0	0	0	0	0	0	0	2.031356212	0	0	0
171.045153	C11H8O2	Dehydromatricaria ester	KEGGREST	C08446	0	0	0	0	0	0	0	0	0	0	2.031356212	0	0	0
171.045153	C11H8O2	"(Z)-2-Decene-4,6,8-triynoic acid methylester"	KEGGREST	C08774	0	0	0	0	0	0	0	0	0	0	2.031356212	0	0	0
171.045153	C11H8O2	1-Hydroxy-2-naphthaldehyde	Pathos	C11427	0	0	0	0	0	0	0	0	0	0	2.031356212	0	0	0
171.045153	C11H8O2	1-Naphthoic acid	Pathos	C14091	0	0	0	0	0	0	0	0	0	0	2.031356212	0	0	0
171.045153	C11H8O2	2-Naphthoic acid	Pathos	C14101	0	0	0	0	0	0	0	0	0	0	2.031356212	0	0	0
172.061531	C7H11NO4	N-Acetyl-L-glutamate 5-semialdehyde	Pathos	C01250	0	0	0	0	0	0	0	-2.230162764	0	0	0	0	0	0
