# Genes selected as reference were the top 5% genes with lowest TPM covariance among the 45 samples 		
Gene ID	Mean TPM	Covariance of TPM
AT3G05100	17.43	0.09
AT5G66720	58.32	0.09
AT2G43950	34.78	0.09
AT1G11680	71.96	0.09
AT4G09670	54.55	0.10
AT3G53520	37.63	0.10
AT1G09870	16.46	0.10
AT3G42050	104.74	0.10
AT2G21600	47.35	0.10
AT1G48440	47.72	0.10
AT2G01070	24.92	0.10
AT1G48450	113.42	0.10
AT3G59920	87.16	0.11
AT5G23540	95.54	0.11
AT5G06130	58.23	0.11
AT4G36440	15.28	0.11
AT4G31180	55.67	0.11
AT1G10430	21.61	0.11
AT5G42080	86.50	0.11
AT1G72880	19.78	0.11
AT1G09150	18.91	0.11
AT5G57850	51.46	0.12
AT4G34110	246.95	0.12
AT5G19070	9.32	0.12
AT4G40045	42.64	0.12
AT4G16830	124.02	0.12
AT2G14530	12.54	0.12
AT4G39820	18.90	0.12
AT5G26880	47.78	0.12
AT1G62640	27.71	0.12
AT1G02130	48.04	0.12
AT1G22940	16.02	0.12
AT3G05545	43.04	0.12
AT4G24330	59.63	0.12
AT3G25800	34.60	0.12
AT1G80040	59.97	0.12
AT1G06130	22.19	0.12
AT3G04080	14.84	0.12
AT4G24470	19.30	0.12
AT5G17770	68.35	0.12
AT3G57890	38.98	0.12
AT1G54140	16.73	0.13
AT5G36230	73.87	0.13
AT2G30980	52.73	0.13
AT2G20790	16.22	0.13
AT4G13270	20.91	0.13
AT4G18380	15.91	0.13
AT3G01910	87.12	0.13
AT1G74920	91.97	0.13
AT4G24840	15.85	0.13
AT5G61970	16.99	0.13
AT3G14960	14.94	0.13
AT1G32400	77.99	0.13
AT4G28980	24.50	0.13
AT2G26340	64.03	0.13
AT5G61840	21.94	0.13
AT2G30050	34.86	0.13
AT4G34215	38.52	0.13
AT5G59290	41.16	0.13
AT4G22290	23.84	0.13
AT4G32320	20.11	0.13
AT4G11150	222.59	0.13
AT5G42790	78.18	0.13
AT2G21410	22.82	0.13
AT2G47970	49.37	0.13
AT2G44100	83.52	0.13
AT3G03860	27.77	0.13
AT1G78900	177.34	0.13
AT5G49970	28.92	0.13
AT2G38840	7.89	0.13
AT4G29330	16.51	0.13
AT1G54370	14.15	0.13
AT5G56760	74.86	0.13
AT1G66340	18.78	0.13
AT5G40810	69.62	0.13
AT4G00660	19.15	0.13
AT1G16460	32.02	0.13
AT3G56190	81.65	0.14
AT5G18800	60.05	0.14
AT3G04830	20.70	0.14
AT3G18990	14.04	0.14
AT4G19185	9.14	0.14
AT1G08110	63.74	0.14
AT4G32130	25.70	0.14
AT2G20860	111.85	0.14
AT1G72550	29.76	0.14
AT3G51050	26.08	0.14
AT1G77440	24.56	0.14
AT5G43940	161.84	0.14
AT5G60620	27.42	0.14
AT4G25550	32.35	0.14
