# Dendrogram based on CE sequence alignment using UPGMA							Dendrogram based on gene deregulation using pvclust (Pearson)							Dendrogram based on metabolite deregulation using pvclust (Pearson)					
Node	Edge1	Length_Edge1	Edge2	Length_Edge2	Bootstrap		Node	Edge1	Length_Edge1	Edge2	Length_Edge2	Bootstrap		Node	Edge1	Length_Edge1	Edge2	Length_Edge2	Bootstrap
Node 1	Mlp124256	0.44251909	Mlp124266	0.44251909	0.94		Node 1	Mlp123218	0.254251	Mlp102036	0.254251	1.00		Node 1	Mlp124499	0.2345643	Mlp124518	0.2345643	1.00
Node 2	Node 1	0.2602078	Mlp124357	0.7027269	0.81		Node 2	Mlp37347	0.2881545	Mlp124497	0.2881545	1.00		Node 2	Mlp124266	0.3117676	Mlp124357	0.3117676	0.96
Node 3	Node 2	0.21168232	Mlp72983	0.91440922	0.27		Node 3	Node 1	0.1320989	Mlp72983	0.3863499	0.94		Node 3	Node 1	0.1026296	Mlp123227	0.3371939	0.72
Node 4	Node 3	0.08076278	Mlp123531	0.995172	0.16		Node 4	Mlp124499	0.4287553	Mlp124256	0.4287553	1.00		Node 4	Mlp102036	0.3700364	Node 3	0.0328425	0.94
Node 5	Mlp37347	0.84319948	Mlp124518	0.84319948	0.26		Node 5	Node 3	0.0506042	Mlp123531	0.4369541	0.98		Node 5	Node 2	0.1039811	Node 4	0.0457123	0.92
Node 6	Mlp124497	0.38273392	Mlp124499	0.38273392	0.98		Node 6	Mlp124266	0.5249619	Mlp123227	0.5249619	0.62		Node 6	Mlp124497	0.4520094	Node 5	0.0362607	0.74
Node 7	Node 5	0.04274724	Node 6	0.50321279	0.24		Node 7	Node 2	0.2994247	Node 4	0.1588239	0.65		Node 7	Mlp37347	0.5078695	Mlp106078	0.5078695	0.75
Node 8	Node 4	0.12322543	Node 7	0.23245072	0.06		Node 8	Node 7	0.0444595	Mlp124357	0.6320387	0.82		Node 8	Mlp123531	0.5523929	Node 6	0.1003835	0.87
Node 9	Node 8	0.08151314	Mlp106078	1.19991057	0.07		Node 9	Node 6	0.1219826	Mlp124518	0.6469445	0.76		Node 9	Mlp123218	0.5846367	Node 8	0.0322438	0.70
Node 10	Mlp102036	1.03272765	Mlp123218	1.03272765	0.08		Node 10	Node 8	0.0727612	Node 9	0.0578554	0.77		Node 10	Node 7	0.0989539	Node 9	0.0221867	0.79
Node 11	Mlp123227	1.05003041	Mlp124466	1.05003041	0.23		Node 11	Node 10	0.0321461	Mlp106078	0.736946	0.99		Node 11	Mlp72983	0.6122791	Mlp124466	0.6122791	0.59
Node 12	Node 10	0.08311218	Node 11	0.06580941	0.07		Node 12	Node 5	0.3584678	Node 11	0.0584759	0.97		Node 12	Mlp124256	0.7223951	Node 10	0.1155717	0.61
Node 13	Node 12	0.20289641	Node 9	0	0.00		Node 13	Mlp124466	0.84441743	Node 12	0.0487524	1.00		Node 13	Node 11	0.1213265	Node 12	0.0112105	1.00
																			
																			
																			
																			
																			
																			
